Symbol,Market,Name,Sector,Industry,ListingDate
A001530,KOSPI,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04
A000210,KOSPI,DL,기타 금융업,지주회사,1976-02-02
A001880,KOSPI,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22
A000215,KOSPI,DL우,,,
A375500,KOSPI,DL이앤씨,토목 건설업,토목 건설 사업,2021-01-25
A37550L,KOSPI,DL이앤씨2우(전환),,,
A37550K,KOSPI,DL이앤씨우,,,
A068790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01
A007340,KOSPI,DN오토모티브,일차전지 및 축전지 제조업,자동차용 밧데리,1988-09-24
A004840,KOSPI,DRB동일,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21
A241520,KOSDAQ,DSC인베스트먼트,신탁업 및 집합투자업,투자조합 결성 및 투자,2016-12-19
A155660,KOSPI,DSR,1차 비철금속 제조업,합섬섬유로프,2013-05-15
A069730,KOSPI,DSR제강,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28
A017940,KOSPI,E1,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",1997-08-27
A245620,KOSDAQ,EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26
A037370,KOSDAQ,EG,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11
A278990,KONEX,EMB,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광ESS,휴대폰 액세서리",2017-10-31
A365550,KOSPI,ESR켄달스퀘어리츠,부동산 임대 및 공급업,부동산투자,2020-12-23
A050120,KOSDAQ,ES큐브,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25
A084180,KOSDAQ,EV수성,일반 목적용 기계 제조업,전동지게차,2005-12-16
A383220,KOSPI,F&F,봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",2021-05-21
A007700,KOSPI,F&F홀딩스,기타 금융업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04
A285690,KOSPI,FOCUS ESG리더스,,,
A292730,KOSPI,FOCUS KRX300,,,
A402520,KOSPI,FOCUS 혁신기업액티브,,,
A214270,KOSDAQ,FSN,소프트웨어 개발 및 공급업,카울리,2015-03-25
A73501BB4,KOSPI,GB국민참여정책형뉴딜A,,,
A73502BB4,KOSPI,GB국민참여정책형뉴딜C,,,
A73503BB4,KOSPI,GB국민참여정책형뉴딜I,,,
A73501BBC,KOSPI,GB뉴딜기업2호A,,,
A73502BBC,KOSPI,GB뉴딜기업2호Ae,,,
A73501BA2,KOSPI,GB중소성장기업A,,,
A73502BA2,KOSPI,GB중소성장기업C,,,
A73503BA2,KOSPI,GB중소성장기업I,,,
A130500,KOSDAQ,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02
A114090,KOSPI,GKL,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19
A900290,KOSDAQ,GRT,기타 금융업,"광학필름, 포장필름",2016-10-25
A078930,KOSPI,GS,기타 금융업,지주회사/부동산 임대,2004-08-05
A083450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01
A006360,KOSPI,GS건설,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",1981-08-03
A001250,KOSPI,GS글로벌,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",1976-06-26
A007070,KOSPI,GS리테일,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23
A078935,KOSPI,GS우,,,
A293180,KOSPI,HANARO 200,,,
A407310,KOSPI,HANARO 200 TOP10,,,
A332930,KOSPI,HANARO 200TR,,,
A304780,KOSPI,HANARO 200선물레버리지,,,
A306520,KOSPI,HANARO 200선물인버스,,,
A395290,KOSPI,HANARO Fn K-POP&미디어,,,
A395280,KOSPI,HANARO Fn K-게임,,,
A368190,KOSPI,HANARO Fn K-뉴딜디지털플러스,,,
A402460,KOSPI,HANARO Fn K-메타버스MZ,,,
A395270,KOSPI,HANARO Fn K-반도체,,,
A438900,KOSPI,HANARO Fn K-푸드,,,
A367740,KOSPI,HANARO Fn5G산업,,,
A407300,KOSPI,HANARO Fn골프테마,,,
A381560,KOSPI,HANARO Fn전기&수소차,,,
A441540,KOSPI,HANARO Fn조선해운,,,
A381570,KOSPI,HANARO Fn친환경에너지,,,
A346000,KOSPI,HANARO KAP초장기국고채,,,
A304760,KOSPI,HANARO KRX300,,,
A404470,KOSPI,HANARO KRX기후변화솔루션,,,
A332940,KOSPI,HANARO MSCI Korea TR,,,
A322400,KOSPI,HANARO e커머스,,,
A322410,KOSPI,HANARO 고배당,,,
A354350,KOSPI,HANARO 글로벌럭셔리S&P(합성),,,
A432850,KOSPI,HANARO 글로벌백신치료제MSCI,,,
A424460,KOSPI,HANARO 글로벌워터MSCI(합성),,,
A401590,KOSPI,HANARO 글로벌탄소배출권선물ICE(합성),,,
A314700,KOSPI,HANARO 농업융복합산업,,,
A390950,KOSPI,HANARO 단기채권액티브,,,
A432840,KOSPI,HANARO 미국S&P500,,,
A419170,KOSPI,HANARO 미국메타버스iSelect,,,
A434730,KOSPI,HANARO 원자력iSelect,,,
A304770,KOSPI,HANARO 코스닥150,,,
A306530,KOSPI,HANARO 코스닥150선물레버리지,,,
A375760,KOSPI,HANARO 탄소효율그린뉴딜,,,
A297890,KOSDAQ,HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22
A078150,KOSDAQ,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08
A012630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16
A039570,KOSPI,HDC랩스,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC, 인테리어, 조경, 시설관리",2015-09-24
A089470,KOSPI,HDC현대EP,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25
A294870,KOSPI,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12
A267250,KOSPI,HD현대,석유 정제품 제조업,지주회사,2017-05-10
A097230,KOSPI,HJ중공업,토목 건설업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",2007-08-31
A215620,KOSPI,HK S&P코리아로우볼,,,
A391670,KOSPI,HK 베스트일레븐액티브,,,
A391680,KOSPI,HK 하이볼액티브,,,
A195940,KOSDAQ,HK이노엔,의약품 제조업,"전문의약품, 숙취해소음료",2021-08-09
A014790,KOSPI,HL D&I,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",1994-08-12
A028300,KOSDAQ,HLB,선박 및 보트 건조업,"구명정, GRP/GRE PIPPE",1996-07-27
A003580,KOSPI,HLB글로벌,기타 비금속광물 광업,"모래 및 자갈 채취업,콤부차,그린월,화장품,신약개발 등",1990-03-23
A343090,KONEX,HLB사이언스,의료용품 및 기타 의약 관련제품 제조업,"패혈증 치료제, 면역항암제 전달기술 등",2020-04-24
A067630,KOSDAQ,HLB생명과학,"건축기술, 엔지니어링 및 관련 기술 서비스업","ESCO 사업, 신재생에너지 사업",2008-11-25
A047920,KOSDAQ,HLB제약,자연과학 및 공학 연구개발업,"씨트리시메티딘정, 로자틴정",2015-12-21
A115450,KOSDAQ,HLB테라퓨틱스,기타 전문 도매업,"임베디드 GUI 미들웨어 FXUI-2D, FXUI-3D",2010-03-26
A204320,KOSPI,HL만도,자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치",2014-10-06
A060980,KOSPI,HL홀딩스,기타 금융업,지주회사 및 경영컨설팅 서비스업,2010-05-19
A011200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05
A403870,KOSDAQ,HPSP,특수 목적용 기계 제조업,고압 수소 어닐링 장비,2022-07-15
A036640,KOSDAQ,HRS,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30
A082740,KOSPI,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04
A75801BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 A,,,
A75802BB4,KOSPI,IBK 국민참여정책형뉴딜 혼합자산 C,,,
A335870,KOSDAQ,IBKS제12호스팩,금융 지원 서비스업,기타 금융업,2019-12-09
A351340,KOSDAQ,IBKS제13호스팩,금융 지원 서비스업,기업인수 및 합병,2020-07-15
A388790,KOSDAQ,IBKS제16호스팩,금융 지원 서비스업,금융 지원 서비스,2021-09-03
A405350,KOSDAQ,IBKS제17호스팩,금융 지원 서비스업,금융 지원 서비스,2022-02-18
A424760,KOSDAQ,IBKS제18호스팩,금융 지원 서비스업,기업인수 및 합병,2022-07-22
A426550,KOSDAQ,IBKS제19호스팩,금융 지원 서비스업,기업인수 및 합병,2022-08-26
A75801BBC,KOSPI,IBK국민참여정책형뉴딜혼합자산2호A,,,
A75802BBC,KOSPI,IBK국민참여정책형뉴딜혼합자산2호C,,,
A003560,KOSPI,IHQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18
A095340,KOSDAQ,ISC,전자부품 제조업,반도체테스트소켓,2007-10-01
A099520,KOSDAQ,ITX-AI,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22
A175330,KOSPI,JB금융지주,기타 금융업,금융지주 회사,2013-07-18
A950170,KOSDAQ,JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",2018-04-06
A234080,KOSPI,JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27
A067290,KOSDAQ,JW신약,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11
A001060,KOSPI,JW중외제약,의약품 제조업,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",1976-06-14
A001067,KOSPI,JW중외제약2우B,,,
A001065,KOSPI,JW중외제약우,,,
A096760,KOSPI,JW홀딩스,기타 금융업,의약품 수출입업,2007-07-31
A035900,KOSDAQ,JYP Ent.,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30
A580011,KOSPI,KB FnGuide 언택트 ETN,,,
A580030,KOSPI,KB KOSDAQ 150 선물 ETN,,,
A580028,KOSPI,KB KOSPI 200 선물 ETN,,,
A580013,KOSPI,KB KRX ESG Eco ETN,,,
A580036,KOSPI,KB S&P 레버리지 WTI원유 선물 ETN(H),,,
A580035,KOSPI,KB S&P 유럽탄소배출권 선물 ETN(H),,,
A580037,KOSPI,KB S&P 인버스 2X WTI원유 선물 ETN,,,
A580010,KOSPI,KB Wise 분할매매 ETN,,,
A580034,KOSPI,KB 레버리지 FANG 플러스 ETN(H),,,
A580025,KOSPI,KB 레버리지 KRX 2차전지 K-뉴딜 ETN,,,
A580024,KOSPI,KB 레버리지 KRX BBIG K-뉴딜 ETN,,,
A580038,KOSPI,KB 레버리지 KRX 리츠 TOP 10 ETN,,,
A580016,KOSPI,KB 레버리지 S&P 500 선물 ETN(H),,,
A580032,KOSPI,KB 레버리지 구리 선물 ETN(H),,,
A580022,KOSPI,KB 레버리지 금 선물 ETN(H),,,
A580015,KOSPI,KB 레버리지 나스닥 100 ETN,,,
A580026,KOSPI,KB 레버리지 은 선물 ETN(H),,,
A580018,KOSPI,KB 레버리지 항셍테크 선물 ETN(H),,,
A71901B96,KOSPI,KB 와이즈 스타 부동산 자 2 A,,,
A71902B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-F,,,
A71903B96,KOSPI,KB 와이즈 스타 부동산 자 2 C-I,,,
A580017,KOSPI,KB 인버스 2X S&P 500 선물 ETN,,,
A580033,KOSPI,KB 인버스 2X 구리 선물 ETN(H),,,
A580023,KOSPI,KB 인버스 2X 금 선물 ETN(H),,,
A580014,KOSPI,KB 인버스 2X 나스닥 100 ETN,,,
A580027,KOSPI,KB 인버스 2X 은 선물 ETN(H),,,
A580019,KOSPI,KB 인버스 2X 항셍테크 선물 ETN,,,
A580031,KOSPI,KB 인버스 KOSDAQ150 선물 ETN,,,
A580029,KOSPI,KB 인버스 KOSPI 200 선물 ETN,,,
A580021,KOSPI,KB 인버스 천연가스 선물 ETN,,,
A580020,KOSPI,KB 천연가스 선물 ETN(H),,,
A318000,KOSDAQ,KBG,합성고무 및 플라스틱 물질 제조업,"실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)",2019-08-01
A58GW23,KOSPI,KBGW23삼성전자콜,,,
A58GW24,KOSPI,KBGW24삼성전자콜,,,
A58GW25,KOSPI,KBGW25삼성전자콜,,,
A58GW26,KOSPI,KBGW26삼성전자풋,,,
A58GW27,KOSPI,KBGW27신한지주콜,,,
A58GW29,KOSPI,KBGW29삼성전자콜,,,
A58GW30,KOSPI,KBGW30삼성전자콜,,,
A58GW31,KOSPI,KBGW31삼성전자콜,,,
A58GW32,KOSPI,KBGW32삼성전자콜,,,
A58GW33,KOSPI,KBGW33삼성전자풋,,,
A58H175,KOSPI,KBH175삼성전자콜,,,
A58H176,KOSPI,KBH176삼성전자풋,,,
A58H177,KOSPI,KBH177삼성전자콜,,,
A58H178,KOSPI,KBH178삼성전자콜,,,
A58H179,KOSPI,KBH179삼성전자콜,,,
A58H180,KOSPI,KBH180삼성전자콜,,,
A58H451,KOSPI,KBH451엘지디스콜,,,
A58H452,KOSPI,KBH452네이버콜,,,
A58H453,KOSPI,KBH453SK하이닉콜,,,
A58H454,KOSPI,KBH454기아콜,,,
A58H455,KOSPI,KBH455삼성전자콜,,,
A58H456,KOSPI,KBH456삼성전자콜,,,
A58H457,KOSPI,KBH457셀트리온콜,,,
A58H458,KOSPI,KBH458셀트리온풋,,,
A58H459,KOSPI,KBH459카카오콜,,,
A58H460,KOSPI,KBH460카카오콜,,,
A58H461,KOSPI,KBH461카카오풋,,,
A58H462,KOSPI,KBH462SK하이닉콜,,,
A58H463,KOSPI,KBH463SK하이닉풋,,,
A58H464,KOSPI,KBH464삼성전자콜,,,
A58H465,KOSPI,KBH465삼성전자콜,,,
A58H466,KOSPI,KBH466셀트리온콜,,,
A58H467,KOSPI,KBH467셀트리온콜,,,
A58H468,KOSPI,KBH468카카오콜,,,
A58H469,KOSPI,KBH469카카오콜,,,
A58H470,KOSPI,KBH470삼성전자콜,,,
A58H471,KOSPI,KBH471삼성전자풋,,,
A58H473,KOSPI,KBH473셀트리온풋,,,
A58H703,KOSPI,KBH703엘지디스콜,,,
A58H704,KOSPI,KBH704POSCO홀콜,,,
A58H705,KOSPI,KBH705기아콜,,,
A58H706,KOSPI,KBH706삼성SDI콜,,,
A58H707,KOSPI,KBH707셀트리온콜,,,
A58H708,KOSPI,KBH708신한지주콜,,,
A58H709,KOSPI,KBH709카카오콜,,,
A58H710,KOSPI,KBH710하나금융콜,,,
A58H711,KOSPI,KBH711현대차콜,,,
A58H712,KOSPI,KBH712네이버콜,,,
A58H713,KOSPI,KBH713삼성바이콜,,,
A58H714,KOSPI,KBH714삼성전자콜,,,
A58H715,KOSPI,KBH715삼성전자풋,,,
A58H716,KOSPI,KBH716셀트리온콜,,,
A58H717,KOSPI,KBH717카카오콜,,,
A58H719,KOSPI,KBH719SK하이닉콜,,,
A58H720,KOSPI,KBH720삼성전자콜,,,
A58H946,KOSPI,KBH946LG이노텍콜,,,
A58H947,KOSPI,KBH947엘지전자콜,,,
A58H948,KOSPI,KBH948LG화학콜,,,
A58H950,KOSPI,KBH950SK바이오콜,,,
A58H951,KOSPI,KBH951SK스퀘어콜,,,
A58H953,KOSPI,KBH953SK하이닉콜,,,
A58H954,KOSPI,KBH954두산에너콜,,,
A58H955,KOSPI,KBH955삼성SDI콜,,,
A58H956,KOSPI,KBH956삼성바이콜,,,
A58H957,KOSPI,KBH957삼성엔지콜,,,
A58H958,KOSPI,KBH958삼성전자콜,,,
A58H959,KOSPI,KBH959삼성전자콜,,,
A58H960,KOSPI,KBH960삼성전자풋,,,
A58H962,KOSPI,KBH962셀트제약콜,,,
A58H963,KOSPI,KBH963셀트헬스콜,,,
A58H964,KOSPI,KBH964신한지주콜,,,
A58H965,KOSPI,KBH965카카오게콜,,,
A58H966,KOSPI,KBH966카카뱅크콜,,,
A58H967,KOSPI,KBH967포스코케콜,,,
A58H969,KOSPI,KBH969한화솔루콜,,,
A58H970,KOSPI,KBH970모비스콜,,,
A58H971,KOSPI,KBH971현대차콜,,,
A58H973,KOSPI,KBH973SK텔레콤콜,,,
A58H975,KOSPI,KBH975기아콜,,,
A58H976,KOSPI,KBH976삼성SDI콜,,,
A58H977,KOSPI,KBH977삼성바이콜,,,
A58H978,KOSPI,KBH978삼성전자콜,,,
A58H979,KOSPI,KBH979신한지주콜,,,
A58H980,KOSPI,KBH980카카오콜,,,
A58H981,KOSPI,KBH981현대차콜,,,
A58H982,KOSPI,KBH982LG에너지콜,,,
A58H983,KOSPI,KBH983네이버콜,,,
A58H984,KOSPI,KBH984SK콜,,,
A58H985,KOSPI,KBH985삼성바이콜,,,
A58H986,KOSPI,KBH986삼성전자콜,,,
A58H987,KOSPI,KBH987셀트리온콜,,,
A58H988,KOSPI,KBH988호텔신라콜,,,
A58HB43,KOSPI,KBHB43DB하이텍콜,,,
A58HB44,KOSPI,KBHB44현대상선콜,,,
A58HB45,KOSPI,KBHB45엘지디스콜,,,
A58HB46,KOSPI,KBHB46LG생건콜,,,
A58HB47,KOSPI,KBHB47LG에너지콜,,,
A58HB48,KOSPI,KBHB48LG이노텍콜,,,
A58HB49,KOSPI,KBHB49엘지전자콜,,,
A58HB50,KOSPI,KBHB50LG화학콜,,,
A58HB51,KOSPI,KBHB51네이버콜,,,
A58HB52,KOSPI,KBHB52네이버콜,,,
A58HB53,KOSPI,KBHB53POSCO홀콜,,,
A58HB54,KOSPI,KBHB54SK콜,,,
A58HB55,KOSPI,KBHB55SK스퀘어콜,,,
A58HB56,KOSPI,KBHB56SK아이이콜,,,
A58HB57,KOSPI,KBHB57SK이노콜,,,
A58HB58,KOSPI,KBHB58SK텔레콤콜,,,
A58HB59,KOSPI,KBHB59SK하이닉콜,,,
A58HB60,KOSPI,KBHB60기아콜,,,
A58HB61,KOSPI,KBHB61두산에너콜,,,
A58HB62,KOSPI,KBHB62삼성SDI콜,,,
A58HB63,KOSPI,KBHB63삼성바이콜,,,
A58HB64,KOSPI,KBHB64삼성엔지콜,,,
A58HB65,KOSPI,KBHB65삼성전기콜,,,
A58HB66,KOSPI,KBHB66삼성전자콜,,,
A58HB67,KOSPI,KBHB67삼성전자콜,,,
A58HB68,KOSPI,KBHB68삼성전자콜,,,
A58HB69,KOSPI,KBHB69셀트리온콜,,,
A58HB70,KOSPI,KBHB70셀트헬스콜,,,
A58HB71,KOSPI,KBHB71신한지주콜,,,
A58HB73,KOSPI,KBHB73NC소프트콜,,,
A58HB74,KOSPI,KBHB74우리금융콜,,,
A58HB75,KOSPI,KBHB75카카오콜,,,
A58HB76,KOSPI,KBHB76카카오콜,,,
A58HB77,KOSPI,KBHB77카카뱅크콜,,,
A58HB78,KOSPI,KBHB78카카페이콜,,,
A58HB79,KOSPI,KBHB79포스코케콜,,,
A58HB80,KOSPI,KBHB80하나금융콜,,,
A58HB81,KOSPI,KBHB81하이브콜,,,
A58HB82,KOSPI,KBHB82한국전력콜,,,
A58HB83,KOSPI,KBHB83한화솔루콜,,,
A58HB84,KOSPI,KBHB84현대건설콜,,,
A58HB85,KOSPI,KBHB85현대건설콜,,,
A58HB86,KOSPI,KBHB86모비스콜,,,
A58HB87,KOSPI,KBHB87현대차콜,,,
A58HB88,KOSPI,KBHB88현대차콜,,,
A58HB89,KOSPI,KBHB89호텔신라콜,,,
A58HB90,KOSPI,KBHB90DB하이텍콜,,,
A58HB91,KOSPI,KBHB91현대상선콜,,,
A58HB92,KOSPI,KBHB92엘지디스콜,,,
A58HB93,KOSPI,KBHB93LG에너지콜,,,
